Timestamp,Theta_pow,Alpha_pow,Beta_pow,Gamma_pow
0,28.2450428521422,10.014935303994186,7.962003783271911,1562.446435716181
1,3.58824891462731,1.8743354678537414,3.350301871058873,1555.6937517498461
2,1.8208754475106952,1.8845745462802177,2.7864646910729456,1529.3838012032984
3,3.2774854766083505,1.8453596796525307,3.303659522442288,1548.9429412262432
4,2.4312337781931523,3.071627651340922,3.1451605150092177,1537.8635611340967
5,2.821301259958759,10.58098420385932,3.8228885364119014,1542.1759009112006
6,2.984996002354692,3.163733703281119,3.6380290916099347,1513.2857025416388
7,1.962722190290365,8.85422265258085,2.493907722432506,1523.0305457959346
8,3.0189166369749163,2.68203667784075,3.458649220287529,1519.1000574707202
9,1.582665700217245,2.767705132604886,4.081721254909791,1503.0087407289084
10,6.006041003780824,6.689903585930342,2.8549646969566003,1505.9667788807299
11,3.753715402964266,4.837370179234214,4.721706667259824,1507.066255046143
12,2.1780518933438646,12.692508992133089,5.127241809405998,1469.7185622761401
13,15.080722241966907,6.812993421675885,7.441053093584183,1526.27204735147
14,14.491149361476902,4.870601344616634,3.936568913711783,1539.3160916541426
15,3.2810148192051884,1.6264236922068567,3.4989433304096593,1555.6515005523552
16,4.987777360768357,5.091440742692241,3.8038410811705257,1501.9109400111865
17,2.7653532293988135,6.569021503910942,4.680690497506509,1502.7625916728168
18,4.580514270281046,3.0826107295559395,4.022677088231796,1479.4348624052063
19,11.600991042688303,5.768947878846239,4.0091753575535,1482.2605114181306
20,7.25156697534426,3.7200726672185205,3.8893076815312755,1470.9000782435448
21,2.2855855528335933,3.7600990427511203,3.1887512616768747,1465.2240553865088
22,4.2472388331554125,4.084761883043461,7.057316650246772,1445.049293301886
23,4.903408623564418,3.272174375357449,2.8451295540682353,1437.7178977308088
24,7.625436904637338,13.614951864784835,3.7141782387386915,1469.371872996668
25,2.1902194767851837,4.107722998335993,1.7091082578623948,1507.2820439548955
26,2.6036999232192413,15.093816116759514,4.402345272655618,1510.7205136949706
27,2.650888801665668,11.931065798116737,4.247074485185657,1535.6171177935937
28,2.4988417383030095,6.359454113543086,3.5585168288936133,1530.8065228027074
29,6.582684945598796,8.32589016185199,3.827405925949456,1545.8729460119232
30,5.371980766237202,6.879103697361104,3.3973233896592463,1549.7381568714372
31,2.512512763818413,11.712428715291379,3.921914716389184,1569.0871568382352
32,3.398524137581698,18.19500152213941,3.847800534256593,1565.4070862477586
33,2.7757330376026523,13.277287375618723,4.030441808799121,1549.931082060268
34,9.0148289988041,3.511396546012024,3.395075989839241,1559.1508106090357
35,25.550037923651036,16.732392673831082,2.9174761371546323,1540.4815995380168
36,46.44488956462131,4.284650532697231,5.478831709480212,1551.3200749920222
37,24.05249448539659,3.211356599453778,3.4389981587133365,1583.9646926358714
38,4.24702210447964,3.6675541910007396,2.1414563873720422,1584.1891806128583
39,12.480786236435318,5.494346196727348,5.256988705573201,1574.0602400759012
40,7.3783059212376045,1.8521369149034048,3.988173228620919,1594.1973399407934
41,4.908126244540235,6.4720757809988845,2.570567754976979,1592.6025204856135
42,1.744606079748749,2.5923917686517006,4.087512745307568,1594.320502043401
43,2.686162970148927,8.611867994982944,6.842931928575356,1589.2143447986605
44,2.813718555488387,1.2062963890162068,2.9314227294578576,1582.3172210494956
45,5.354315065203963,5.688091866581615,2.860575207055333,1583.1306219213645
46,2.419257167069632,2.333935722582528,2.2616635746168523,1575.6925650155426
47,1.871308681197444,1.5837486618560004,1.7798857846239826,1582.7046999717284
48,2.8464064305927073,2.635475909256916,2.668585037439985,1582.6571174586768
49,1.7236181856712456,2.1859013752289034,3.1589615812591325,1576.1462132658703
50,4.002015573765236,12.520097107538646,4.963870625807513,1577.2344832367826
51,2.2265612019597603,1.7716829670588852,2.323289315780688,1570.8388607926597
52,3.90717313541473,2.0613992108087884,2.4579466667137377,1582.578455075034
53,1.5918198821236635,4.185178715296271,1.9586743860435998,1587.6608722705405
54,3.8510578357411314,3.94336675588651,3.0762207083891964,1577.0893373046633
55,5.877098407685851,3.222017875857779,3.316132620744663,1577.3543709920002
56,9.56878607904696,2.3762157502263133,3.6640646970397883,1584.8392158385616
57,5.2516987992974755,4.661117424716729,1.8037750046592371,1587.7717412666668
58,2.6507879959014655,6.391718610035989,2.502275021716283,1585.6055809390925
59,15.279598438435732,2.8195065759316247,2.370737260223069,1610.8390907457901
