Timestamp,Theta_pow,Alpha_pow,Beta_pow,Gamma_pow
0,2.7809500389590456,2.578990236476408,1.95420321377697,7338.847184384395
1,21.510971751607237,16.582387331879755,8.027471772083615,7303.847995501024
2,3.3010970554578813,3.065307068928079,2.4511442143562316,7251.765059433766
3,3.3174970424244346,1.6832343212389353,1.7482251072895898,7251.621871171628
4,4.253733386504322,1.8585792738357438,1.6462681374918018,7210.69925415717
5,3.7467379647814063,4.847646291176664,4.396536989028796,7183.170485643891
6,11.15720854223981,6.84735496584665,4.61711591518651,7373.5190157725565
7,11.186174531361667,4.22114466695093,2.3981789472095043,7660.034204372444
8,4.746277608678789,3.4312581907442636,2.0357780937400882,7542.5879243364325
9,3.9328554611494835,1.39086551898258,2.4624778173710484,7523.304436459386
10,4.411650482623796,2.532749736098546,1.4509539282596535,7513.297060000603
11,3.376019527312443,1.3968344957120014,1.532556905024505,7550.786687026867
12,1.2265872024942368,1.3920214417450008,2.452543623279698,7494.84129870286
13,2.8637654638956964,1.715645851191737,1.4524096413421108,7443.751865144713
14,4.2689393957389346,1.6644258251701214,1.3484939462565337,7506.959844045122
15,2.285255746289109,1.6498194340208387,1.46842597424737,7479.043726143697
16,1.6001076222007584,1.4896638130033428,1.5649313979482222,7467.859532423527
17,3.5307584337403752,1.020394675965907,1.5532006236542677,7490.684452307013
18,4.181054657233927,2.1549496120207916,1.4235126003769674,7479.44763356727
19,1.4519824014222222,0.6267461890342281,1.2615951818252251,7520.11701135787
20,5.490995897422584,4.321446035495006,1.376638279548267,7515.443555330651
21,4.524522306301871,1.9017156180195476,2.158840042250006,7530.336424601396
22,2.994783397523331,1.9091422501245119,1.5136992512827556,7550.504818866327
23,3.529906008708201,1.1504508659548085,1.7544899455824874,7556.228467335937
24,4.895505437324426,3.7251666725332995,1.4167224211160299,7533.277868464883
25,1.9592507359355102,4.4181225566065425,1.7944232513721579,7534.421229413318
26,5.5611148535631365,1.966883797244118,1.6989610177433492,7563.943918101138
27,2.503153277032429,1.4874005795788665,1.7081333453073,7604.117129006653
28,4.558683239597068,3.9524171450295276,2.6733774069420573,7599.052243306912
29,1.6920956343854285,1.6766523567022205,2.403583751769948,7554.828240726749
30,2.0912689801668876,1.400742191329654,1.8928939989480957,7581.508763471732
31,6.196531629395936,4.194707646554237,2.124710913811011,7613.896680035767
32,6.135154254830913,3.1494610230904896,1.6786764792133917,7672.52522327811
33,8.074751051744292,2.713500603603643,1.385630356418878,7653.212237131862
34,3.9658281606155956,3.4831107547021274,2.0472138402645714,7659.261318133421
35,3.872600009046549,1.3063876356369701,2.286217152901312,7683.860974447296
36,3.7927375885549837,1.5548094042289577,1.7232405758820886,7707.297494583782
37,3.2454650208928206,1.8786642166132501,1.5797683673637457,7743.437610709861
38,2.2670221459818167,1.2110242329739063,1.9291998609118348,7738.743087934745
39,2.1259519043669197,4.310306671518951,2.4690497264532967,7792.0411190844725
