Timestamp,Theta_pow,Alpha_pow,Beta_pow,Gamma_pow
0,2.5345716801665663,2.292478348818153,4.210839243074835,1818.3895410479
1,6.090496179859984,4.1010483964169575,4.392904790355162,1611.2332206199728
2,10.579083708206433,7.201633280196163,5.7105172250711345,1368.7546210182559
3,9.757117133448268,7.154937281020539,4.5035490937856215,976.6540177684675
4,113.97908096287914,22.899862988343823,5.155894235359632,1610.271243246534
5,93.98261884327454,18.387397071675437,14.443176136432175,2132.3486997251775
6,181.27360041496271,8.796072912651404,19.191572710705405,1941.821451480721
7,97.08449629029678,39.20520065812997,5.4050926067592115,1639.793439865769
8,6.7723316415537385,2.7553026248441106,2.7836322208041056,1217.0799271663193
9,13.050020814305078,3.127364115796131,3.4997909929985966,1284.8138524356864
10,2.6894543702385487,1.6748735653690439,3.878145117676769,1670.6774082622512
11,4.641630751310734,6.7110601431737305,5.7703836950940985,1864.39825386853
12,1.941192350605252,6.638670979968882,5.647041615895485,1680.9542966834074
13,3.7507460078121504,3.6000903321582074,6.07274847979057,1642.4772610380317
14,3.34535271345726,3.4498768365191124,6.511212376457729,1572.7630268718426
15,3.166269916267309,2.799629922581172,4.351996262970292,1640.7464341201464
16,2.4552426309043347,2.7043704544494287,9.664144257571406,1730.2156522167752
17,2.349223156827455,3.1187388227009016,4.265226174559075,1619.2098072594083
18,5.2917898762795215,2.408573265497802,5.038778570856459,1682.270074015416
19,7.768800114119939,11.205448077613662,7.140364237448899,1752.3697667358513
20,1.3699219474986806,5.742667055177036,4.844510994342042,1803.3194603287786
21,1.6614620590197686,5.595910514978638,3.6571839113491187,1839.2617134922837
22,4.114659700374322,2.106562114516934,6.587114891350132,1848.049407523611
23,1.5200802047673374,3.425737686656161,4.798123874145579,1795.2831094080996
24,1.2876735952352454,5.909315500100947,6.8966863832054335,1848.4876850613728
25,2.9588623024558993,1.5908598766267275,6.073817758203088,1788.3867992732648
26,11.037441818119602,6.194939980540453,4.831932904075996,1800.9620807811007
27,4.060894209805376,4.327103901310654,4.511630185750214,1866.3107672258247
28,3.0330754378574554,1.976599608570761,3.318184986007308,1826.8263044970217
29,5.194930692184083,2.578774819771959,3.922482383591565,1860.1309475276635
30,1.7026251383785067,3.7933420144399506,4.691673056291551,1876.1120982514635
31,2.664950661690092,2.891396480155934,2.674816519507691,1876.5369351543302
32,7.639991276829336,3.120262683071065,2.5942812624516725,1876.317588545127
33,1.3679032414405266,6.969595717166631,4.049906647913475,1861.6958369598499
34,2.507729595393096,3.6104586028131744,6.092852998891359,1848.5973007131279
35,6.377352818051173,3.360533527165485,4.053237020434633,1882.3522022073641
36,3.023748058693911,3.1047967107481034,4.135491357317287,1896.6630414258848
37,3.765867184317808,4.944766434299703,3.689346033815392,1903.0140967783432
38,1.2323451732894675,3.3566742162041976,1.9082250651501547,1913.2332901383638
39,2.2175681746213955,3.098769373778272,4.466731680887667,1927.3100655908695
40,3.883020280011678,3.4094788121258763,2.880872220201291,1951.9087096974913
41,1.4710984508572305,2.918693251549971,3.0786454808858728,1947.990561246422
42,3.0087634268495163,2.8866961901751402,3.240643812856548,1966.3877557265405
43,2.5545251720419837,2.058433792808551,2.6798181986646448,1924.6558358482798
44,3.201239808075234,6.506969937623197,2.2304992053340387,1922.9152614643917
45,2.641925304253514,8.185982698527143,3.0993820509143704,1937.443948210706
46,3.057089210969611,7.0492143794666395,2.8745239381516265,1968.0366249584902
47,1.6072333394080616,3.2377512434869535,2.7816479143391124,1979.6738679182113
48,3.589096580191331,1.4184959789700367,2.4107278664821092,1963.217141412987
49,1.4367884891260219,5.261715332029126,3.445168377565771,2014.3027844419153
50,2.9361793199857216,1.2988517672993487,2.022763553727972,2003.4316252652866
51,1.6158282675963418,4.257169846504534,5.144877735808568,2006.6212808670562
52,3.495281880038225,3.2093454893966746,2.5333375374167324,1999.757722451305
53,7.131234980403077,2.8636056364123648,3.0781649089831777,1976.7493768803104
54,4.630727858736835,2.2696231488899024,2.7045642842148196,1994.6638149988803
55,4.8281356275693685,4.632133369805058,3.6634861426748735,1993.8678732395356
56,3.2543655408639753,1.8017488658552219,2.282121317258084,1982.748188936028
57,2.787226849855707,2.8153554489256187,3.6099854691456965,2052.6228794366707
58,3.5649331310759313,5.655050886621095,2.957554734093089,2004.8937535677794
59,8.35627979010755,6.304170758443728,3.213655757168989,2027.8863686397226
60,3.2876338083277465,2.545125504860942,1.787990213719505,1999.7780442482926
61,2.8724065011833217,5.0546411806198,2.0111406592681362,2030.3739113981328
62,2.260096430477151,1.6166078613052706,2.156989299251637,2018.9914519992765
63,1.480809872140647,3.2226238351077563,2.8060228512685397,2034.9639417784542
64,13.900470833467647,1.4287463757650634,2.334857170003298,2025.5104343322314
65,2.5348013324914414,3.2068599832726727,2.965564034952746,2046.966238616506
66,2.5174765432755866,5.090973089277681,4.567126918593647,2008.682486465543
67,4.285930889055136,1.9485869709832315,2.858192555225587,2044.5078667195519
68,16.584265577187253,5.428683150536808,5.154890589002227,2031.3408152840127
69,1.7297872277411237,1.8731243844386543,3.236519373569638,2033.5415402006124
70,3.061540874495277,2.0914144966839956,3.62793965269568,2031.2112247433256
71,2.6794546434265736,18.04373391131105,6.303511824564358,2065.7355266870254
72,2.708191036014757,4.539997983054761,4.080805337400168,2067.8570685480686
73,3.0370593014097924,9.53250895269924,8.147440456261311,2048.191602249873
74,13.333074783367538,4.0322990921460935,3.7473518406597304,2037.239235589478
75,2.11584234017816,4.4355641148157785,3.1778640258968585,2081.1902893859974
76,4.0969520464263285,3.5249893994575676,5.263912808497793,2051.155926708342
77,5.300588830032341,2.3407637078685957,4.105960048407945,2082.4296150424066
78,5.0264268402749845,4.458230717862471,3.6278525179078147,2080.9303600826747
