Theta_pow,Alpha_pow,Beta_pow,Gamma_pow,TAR,TBR,TGR,ABR,AGR,BGR
6.901229976094055,2.105747474870683,5.209783153964123,240337.63205094324,3.2773302869651406,1.3246674136221794,2.8714729013520588e-05,0.40419100232001404,8.761621960327617e-06,2.167693469185812e-05
82.62372437860952,16.06996140339113,6.163916593743003,244079.4974310564,5.1415011090925224,13.404419596215973,0.00033851153107174734,2.6071023445878163,6.583904659149141e-05,2.5253725358411495e-05
4.8008333686427,2.348227057546932,4.390419761575026,237503.86551249147,2.0444502388358794,1.0934793549035142,2.02137062412999e-05,0.5348525164036994,9.887110900194707e-06,1.84856770735132e-05
2.3644987706978307,2.520343834146105,4.0136417507689774,240300.22574984215,0.9381651577309194,0.5891155507949393,9.839769244159289e-06,0.6279443933089519,1.0488312386230709e-05,1.67026133173394e-05
8.481693864516009,5.397175028394296,7.951018137566441,240234.23894023648,1.5715061712644482,1.0667431161353118,3.5305932667766045e-05,0.6788030079939175,2.246630227316166e-05,3.309693977278747e-05
4.810253683941339,2.864495970263341,5.635664740416077,238553.3230986438,1.6792670451894958,0.853537941929846,2.016427028330374e-05,0.5082800525234681,1.2007780621353357e-05,2.362433969568172e-05
4.201057494792298,2.663335457979277,5.014945278576935,239334.42503778765,1.5773670125578998,0.8377075444349436,1.7553084952693324e-05,0.5310796648881956,1.112809182197159e-05,2.0953714777074562e-05
3.569708155924923,2.0431610314815303,4.766429001184812,240415.7219151893,1.7471496866482756,0.7489271643483172,1.4848064542069332e-05,0.4286565541988883,8.498450164595683e-06,1.9825779126317913e-05
4.265503453163632,2.4780366669729106,4.19348711277805,238277.94667156172,1.721323784274037,1.017173378252705,1.79013774155236e-05,0.5909250703124949,1.0399773464510311e-05,1.7599140715100595e-05
3.2466854581625886,1.449526459875036,3.9098825605012366,237308.7115603043,2.239824900086671,0.8303792781301268,1.3681273800762046e-05,0.3707340150107246,6.1081889929130805e-06,1.6475933541561817e-05
3.1438886820287704,3.373435250557621,6.040022973170662,235699.21168344276,0.9319546540900979,0.5205093914367036,1.333856256698554e-05,0.5585136456503845,1.43124587751627e-05,2.5625978678633644e-05
6.516150467709206,3.6920766854008873,5.733347519241333,232844.3627436938,1.7649011716022036,1.1365350601617565,2.7985004193045187e-05,0.6439652703782802,1.585641430995254e-05,2.462308922442062e-05
5.901460503852089,3.182363810727533,4.41362992970013,228931.58916766706,1.854426726434817,1.3370990766897046,2.577827081578472e-05,0.7210309566991152,1.3900937927778957e-05,1.9279252573866657e-05
5.622304114260897,2.8310238071968374,5.601013568450186,229257.3497334844,1.985961439097847,1.0038011951855712,2.452398634459014e-05,0.5054484822432217,1.2348671964008792e-05,2.4431118893075662e-05
5.784181673236787,2.2127315593887515,5.050218423485391,229543.4218779288,2.614045815315536,1.145332971409354,2.519863834875135e-05,0.4381457144702352,9.639707996361064e-06,2.200114637208422e-05
13.721970520009304,3.195912611369135,5.244721543865603,227914.20072342694,4.293600041251061,2.616339190792496,6.020673778314001e-05,0.6093579200800809,1.4022437396287403e-05,2.3011824305893312e-05
2.526795429471867,1.9591756601874717,4.475968621567358,228516.2025924843,1.2897237755751214,0.5645248309598413,1.1057401623192258e-05,0.43770987373486625,8.573464979554615e-06,1.9587095229082758e-05
5.526312364785101,4.595185522830955,6.333294268499765,232768.75370079308,1.2026309574070269,0.8725810187395852,2.3741641766440715e-05,0.7255600842181403,1.9741419111337103e-05,2.7208524201838293e-05
5.70943111198119,4.8471892011091375,5.6549692210309255,229652.0521478722,1.177884929821752,1.009630802365417,2.4861224006415178e-05,0.8571557176796577,2.1106666175088428e-05,2.4624074412318812e-05
3.1314575062840078,2.0182606875157028,5.129985452037014,228765.71964210624,1.5515624545700042,0.610422297599415,1.3688491051819448e-05,0.39342425166416256,8.822391268557114e-06,2.242462489599686e-05
3.2327727019952537,2.606988173266369,4.9085941695592465,222812.2798896953,1.2400411843621144,0.6585944142710685,1.4508952125958495e-05,0.5311068878811906,1.170037923653479e-05,2.2030177923718023e-05
4.093209747843021,2.27700693851733,5.431669847144415,228867.512163485,1.797627261736984,0.7535822063991866,1.7884625516089646e-05,0.4192093780726415,9.949017739533145e-06,2.3732812909088018e-05
3.6281907682766668,2.349126628861429,4.613680509458815,231719.74436164755,1.5444849688818914,0.7863983561146616,1.5657667749771505e-05,0.5091654318163834,1.0137792251294397e-05,1.9910605900972313e-05
4.258839651146888,2.7195548396616696,4.153998781694512,238277.1703430124,1.566006167272845,1.0252385412134397,1.7873469141068217e-05,0.6546835910607322,1.141340916440601e-05,1.7433473696681114e-05
6.186447441844072,2.4548519495495245,5.50024674554239,237511.54363118665,2.5200898339222904,1.1247581659600643,2.604693375009397e-05,0.4463166950717311,1.0335716369901897e-05,2.315780808567056e-05
4.016025595730571,3.1747458939276325,4.04613108007032,234115.99703885382,1.2649911929682505,0.992559439191667,1.7153999071084715e-05,0.7846374304493509,1.3560567983745053e-05,1.728259124214748e-05
6.47625839488394,2.9908976683120643,3.432442440597942,237269.22414337008,2.165322626547389,1.8867784404145043,2.72949785976906e-05,0.8713613469337713,1.260550195294107e-05,1.4466446092999767e-05
3.1474873761995483,1.7338382433526147,3.975301227607745,237301.18259149417,1.81532930667941,0.7917607235247534,1.3263681798071102e-05,0.4361526697175608,7.306488001525714e-06,1.6752134077861252e-05
6.260539689847638,3.5185185082922557,4.796778041457889,234305.42411679824,1.7793112854438975,1.3051551761909055,2.6719567903502053e-05,0.7335170562161073,1.5016803480137616e-05,2.0472330333534052e-05
